Grambank_ID	VV_ID
apma1240	Surubonamaram
aulu1238	Netimbbangir
axam1237	Axambsmallisland
bign1238	Venentautebenmara
cent2058	Ctlsungwadagarongnawo
east2443	Esanasolokave
hano1246	Ragawansa
katb1237	Avavatisvel
labo1244	Nindelawa
lewo1242	Moriu
ling1265	Neverversakan
litz1237	Namanlitzlitz
maee1241	Tiraxmae
malu1245	Maluabaymarasup
mara1399	Tapemaraxusmae
mari1426	Nsungwadiauta
mask1242	Uliveolurtes
nama1268	Namakirsangava
nati1244	Naatiwindua
nese1235	Nese
paam1238	Mangalava
port1285	Portsandwichmerivar
rere1240	Pangkumudatisman
saaa1241	Sapaangi
sout2857	Nahavaqcarolinebay
unua1237	Unuanoferai
vinm1237	Neveeivinmavis1